region,region_min,region_max,source,two_theta,intensity,relative_intensity
1,4.0,5.5,exp,4.853669129660679,,
1,4.0,5.5,sim,4.56179,97.979,97.979
1,4.0,5.5,sim,4.56348,94.14,94.14
1,4.0,5.5,sim,4.56974,100.0,100.0
2,7.5,9.0,exp,8.315780829392859,,
2,7.5,9.0,sim,7.90279,7.112,83.04530593180756
2,7.5,9.0,sim,7.91365,8.564,100.0
2,7.5,9.0,sim,7.91659,7.734,90.30826716487623
3,9.0,10.5,exp,9.776080947551073,,
3,9.0,10.5,sim,9.13082,10.383,92.31795145372098
3,9.0,10.5,sim,9.13422,8.835,78.55428114163779
3,9.0,10.5,sim,9.14677,11.247,100.0
4,12.0,14.0,exp,12.581022066460608,,
4,12.0,14.0,sim,12.08446,2.544,66.82427107959023
4,12.0,14.0,sim,12.08639,2.441,64.11872865773574
4,12.0,14.0,sim,12.09636,3.807,100.0
4,12.0,14.0,sim,12.1015,2.553,67.06067769897557
4,12.0,14.0,sim,12.10542,3.663,96.2174940898345
4,12.0,14.0,sim,12.10863,3.371,88.54741266088783
4,12.0,14.0,sim,13.94709,0.535,14.053060152350932
4,12.0,14.0,sim,13.94711,0.536,14.07932755450486
5,15.5,17.5,exp,16.474393942788865,,
5,15.5,17.5,sim,15.84348,0.812,46.188850967007966
5,15.5,17.5,sim,15.86536,1.758,100.0
5,15.5,17.5,sim,15.87128,1.099,62.51422070534698
5,15.5,17.5,sim,16.05067,0.289,16.4391353811149
5,15.5,17.5,sim,16.05071,0.29,16.496018202502842
5,15.5,17.5,sim,16.05263,0.701,39.87485779294653
5,15.5,17.5,sim,16.05265,0.702,39.93174061433447
5,15.5,17.5,sim,16.05985,0.212,12.059158134243459
5,15.5,17.5,sim,16.50787,0.184,10.466439135381114
6,24.0,27.5,exp,25.922436174958104,,
6,24.0,27.5,sim,26.52295,10.355,100.0
6,24.0,27.5,sim,26.92655,1.397,13.491067117334621
6,24.0,27.5,sim,26.92657,1.397,13.491067117334621
6,24.0,27.5,sim,26.92685,1.344,12.979237083534526
6,24.0,27.5,sim,26.92687,1.343,12.969579913085466
6,24.0,27.5,sim,26.92796,2.862,27.638821825205213
